Param: rdm.Lap.kernel                                     | Grad Mean: 0.002697603311390 | Grad Std: 0.004479050170630
Param: rdm.se2.conv2.norm.bias                            | Grad Mean: -0.000024768291041 | Grad Std: 0.000054234067647
Param: rdm.se2.se_layer.se.0.weight                       | Grad Mean: -0.000009609507288 | Grad Std: 0.000066707791120
Param: rdm.se2.se_layer.se.0.bias                         | Grad Mean: -0.000092810994829 | Grad Std: 0.000116885072202
Param: rdm.se2.se_layer.se.2.weight                       | Grad Mean: 0.000009770270481 | Grad Std: 0.000045277625759
Param: rdm.se2.se_layer.se.2.bias                         | Grad Mean: 0.000142126547871 | Grad Std: 0.000095564748335
Param: rdm.se3.conv1.conv2d.weight                        | Grad Mean: -0.000065061249188 | Grad Std: 0.000609894923400
Param: rdm.se3.conv1.norm.weight                          | Grad Mean: 0.000025954297598 | Grad Std: 0.000550214143004
Param: rdm.se3.conv1.norm.bias                            | Grad Mean: 0.000049007590860 | Grad Std: 0.000401464785682
Param: rdm.se3.conv2.conv2d.weight                        | Grad Mean: 0.000011770312994 | Grad Std: 0.000433896784671
Param: rdm.se3.conv2.norm.weight                          | Grad Mean: -0.000106881067040 | Grad Std: 0.000508851488121
Param: rdm.se3.conv2.norm.bias                            | Grad Mean: -0.000008137924851 | Grad Std: 0.000033398522646
Param: rdm.se3.se_layer.se.0.weight                       | Grad Mean: 0.000002699332526 | Grad Std: 0.000030516577681
Param: rdm.se3.se_layer.se.0.bias                         | Grad Mean: -0.000078798111645 | Grad Std: 0.000067324843258
Param: rdm.se3.se_layer.se.2.weight                       | Grad Mean: -0.000003732607183 | Grad Std: 0.000037127061660
Param: rdm.se3.se_layer.se.2.bias                         | Grad Mean: -0.000043751682824 | Grad Std: 0.000203291725484
Param: rdm.se4.conv1.conv2d.weight                        | Grad Mean: -0.000088246022642 | Grad Std: 0.000467520556413
Param: rdm.se4.conv1.norm.weight                          | Grad Mean: 0.000010765903426 | Grad Std: 0.000395649607526
Param: rdm.se4.conv1.norm.bias                            | Grad Mean: 0.000026432500817 | Grad Std: 0.000244390161242
Param: rdm.se4.conv2.conv2d.weight                        | Grad Mean: -0.000007002532584 | Grad Std: 0.000331763760187
Param: rdm.se4.conv2.norm.weight                          | Grad Mean: 0.000056019187468 | Grad Std: 0.000291546370136
Param: rdm.se4.conv2.norm.bias                            | Grad Mean: -0.000008301369235 | Grad Std: 0.000023244047043
Param: rdm.se4.se_layer.se.0.weight                       | Grad Mean: 0.000001415884640 | Grad Std: 0.000006882556136
Param: rdm.se4.se_layer.se.0.bias                         | Grad Mean: -0.000013968241547 | Grad Std: 0.000029706472560
Param: rdm.se4.se_layer.se.2.weight                       | Grad Mean: 0.000001086616066 | Grad Std: 0.000004288763193
Param: rdm.se4.se_layer.se.2.bias                         | Grad Mean: 0.000021505529730 | Grad Std: 0.000111271459900
Param: rdm.se5.conv1.conv2d.weight                        | Grad Mean: 0.000005520280865 | Grad Std: 0.000520364206750
Param: rdm.se5.conv1.norm.weight                          | Grad Mean: -0.000007437123713 | Grad Std: 0.000404639402404
Param: rdm.se5.conv1.norm.bias                            | Grad Mean: 0.000001471443966 | Grad Std: 0.000289062270895
Param: rdm.se5.conv2.conv2d.weight                        | Grad Mean: -0.000024076402042 | Grad Std: 0.000323503976688
Param: rdm.se5.conv2.norm.weight                          | Grad Mean: 0.000093451759312 | Grad Std: 0.000295410660328
Param: rdm.se5.conv2.norm.bias                            | Grad Mean: -0.000007362279575 | Grad Std: 0.000020093501007
Param: rdm.se5.se_layer.se.0.weight                       | Grad Mean: -0.000000451064579 | Grad Std: 0.000008818573406
Param: rdm.se5.se_layer.se.0.bias                         | Grad Mean: 0.000002584784397 | Grad Std: 0.000040362494474
Param: rdm.se5.se_layer.se.2.weight                       | Grad Mean: 0.000000199271170 | Grad Std: 0.000009365230653
Param: rdm.se5.se_layer.se.2.bias                         | Grad Mean: 0.000035061959352 | Grad Std: 0.000113185000373
Param: rdm.enc1.conv.weight                               | Grad Mean: 0.000046872111852 | Grad Std: 0.000515290012117
Param: rdm.enc1.conv.bias                                 | Grad Mean: 0.000052512514230 | Grad Std: 0.000265578157268
Param: rdm.enc1.csa0.conv1.conv2d.weight                  | Grad Mean: 0.000004146994343 | Grad Std: 0.000386339786928
Param: rdm.enc1.csa0.conv1.norm.weight                    | Grad Mean: -0.000000755990186 | Grad Std: 0.000473515770864
Param: rdm.enc1.csa0.conv1.norm.bias                      | Grad Mean: 0.000051768551202 | Grad Std: 0.000392369227484
Param: rdm.enc1.csa0.conv2.conv2d.weight                  | Grad Mean: -0.000024096316338 | Grad Std: 0.000444473756943
Param: rdm.enc1.csa0.conv2.norm.weight                    | Grad Mean: -0.000027674157536 | Grad Std: 0.000565782305785
Param: rdm.enc1.csa0.conv2.norm.bias                      | Grad Mean: -0.000004558012733 | Grad Std: 0.000339721125783
Param: rdm.enc1.csa0.cbam_layer.channel_layer.fc_1.weight | Grad Mean: -0.000484548683744 | Grad Std: 0.000892146490514
Param: rdm.enc1.csa0.cbam_layer.channel_layer.fc_1.bias   | Grad Mean: -0.000034342519939 | Grad Std: 0.000311438489007
Param: rdm.enc1.csa0.cbam_layer.channel_layer.fc_2.weight | Grad Mean: 0.000055913071265 | Grad Std: 0.000802140508313
Param: rdm.enc1.csa0.cbam_layer.channel_layer.fc_2.bias   | Grad Mean: 0.000039879174437 | Grad Std: 0.000279065017821
Param: rdm.enc1.csa0.cbam_layer.spatial_layer.conv.weight | Grad Mean: 0.000330589100486 | Grad Std: 0.000354331132257
Param: rdm.enc1.csa1.conv1.conv2d.weight                  | Grad Mean: 0.000002773317647 | Grad Std: 0.000349473732058
Param: rdm.enc1.csa1.conv1.norm.weight                    | Grad Mean: -0.000001899808922 | Grad Std: 0.000340272119502
Param: rdm.enc1.csa1.conv1.norm.bias                      | Grad Mean: 0.000044316111598 | Grad Std: 0.000353133480530
Param: rdm.enc1.csa1.conv2.conv2d.weight                  | Grad Mean: -0.000011452303625 | Grad Std: 0.000440069125034
Param: rdm.enc1.csa1.conv2.norm.weight                    | Grad Mean: 0.000008550599887 | Grad Std: 0.000673882314004
Param: rdm.enc1.csa1.conv2.norm.bias                      | Grad Mean: -0.000067517263233 | Grad Std: 0.000402830191888
Param: rdm.enc1.csa1.cbam_layer.channel_layer.fc_1.weight | Grad Mean: 0.000146332255099 | Grad Std: 0.001301910262555
Param: rdm.enc1.csa1.cbam_layer.channel_layer.fc_1.bias   | Grad Mean: 0.000055275184422 | Grad Std: 0.000411548855482
Param: rdm.enc1.csa1.cbam_layer.channel_layer.fc_2.weight | Grad Mean: -0.000087791871920 | Grad Std: 0.001203907770105
Param: rdm.enc1.csa1.cbam_layer.channel_layer.fc_2.bias   | Grad Mean: -0.000014269064195 | Grad Std: 0.000251028919592
Param: rdm.enc1.csa1.cbam_layer.spatial_layer.conv.weight | Grad Mean: 0.000066915243224 | Grad Std: 0.000093290378572
Param: rdm.enc1.out.0.weight                              | Grad Mean: 0.000032429117709 | Grad Std: 0.000450374354841
Param: rdm.enc1.out.0.bias                                | Grad Mean: 0.000000000031484 | Grad Std: 0.000000000160946
Param: rdm.enc1.out.1.weight                              | Grad Mean: 0.000020768438844 | Grad Std: 0.000341944716638
Param: rdm.enc1.out.1.bias                                | Grad Mean: 0.000051963732403 | Grad Std: 0.000323938322254
Param: rdm.enc2.conv.weight                               | Grad Mean: 0.000000110966525 | Grad Std: 0.000036042434658
Param: rdm.enc2.conv.bias                                 | Grad Mean: -0.000000048425946 | Grad Std: 0.000002111559070
Param: rdm.enc2.csa0.conv1.conv2d.weight                  | Grad Mean: -0.000000141358043 | Grad Std: 0.000016579308067
Param: rdm.enc2.csa0.conv1.norm.weight                    | Grad Mean: -0.000000064890443 | Grad Std: 0.000018465530957
Param: rdm.enc2.csa0.conv1.norm.bias                      | Grad Mean: 0.000003883699719 | Grad Std: 0.000013420738469
Param: rdm.enc2.csa0.conv2.conv2d.weight                  | Grad Mean: 0.000000681612505 | Grad Std: 0.000017512267732
Param: rdm.enc2.csa0.conv2.norm.weight                    | Grad Mean: 0.000000080836230 | Grad Std: 0.000010695256606
Param: rdm.enc2.csa0.conv2.norm.bias                      | Grad Mean: -0.000000037713846 | Grad Std: 0.000001933066414
Param: rdm.enc2.csa0.cbam_layer.channel_layer.fc_1.weight | Grad Mean: 0.000000360682492 | Grad Std: 0.000001589326871
Param: rdm.enc2.csa0.cbam_layer.channel_layer.fc_1.bias   | Grad Mean: 0.000000193617964 | Grad Std: 0.000000642735699
Param: rdm.enc2.csa0.cbam_layer.channel_layer.fc_2.weight | Grad Mean: -0.000000012279113 | Grad Std: 0.000001700560119
Param: rdm.enc2.csa0.cbam_layer.channel_layer.fc_2.bias   | Grad Mean: 0.000000027276997 | Grad Std: 0.000005632969533
Param: rdm.enc2.csa0.cbam_layer.spatial_layer.conv.weight | Grad Mean: -0.000052416704420 | Grad Std: 0.000054231844842
Param: rdm.enc2.csa1.conv1.conv2d.weight                  | Grad Mean: -0.000000360353539 | Grad Std: 0.000009572465387
Param: rdm.enc2.csa1.conv1.norm.weight                    | Grad Mean: -0.000000016783616 | Grad Std: 0.000009606000276
Param: rdm.enc2.csa1.conv1.norm.bias                      | Grad Mean: 0.000000992613082 | Grad Std: 0.000005629750376
Param: rdm.enc2.csa1.conv2.conv2d.weight                  | Grad Mean: 0.000000485168641 | Grad Std: 0.000010905825548
Param: rdm.enc2.csa1.conv2.norm.weight                    | Grad Mean: 0.000001747934903 | Grad Std: 0.000008914651517
Param: rdm.enc2.csa1.conv2.norm.bias                      | Grad Mean: -0.000000013903177 | Grad Std: 0.000000787999454
Param: rdm.enc2.csa1.cbam_layer.channel_layer.fc_1.weight | Grad Mean: 0.000000053638495 | Grad Std: 0.000000269872658
Param: rdm.enc2.csa1.cbam_layer.channel_layer.fc_1.bias   | Grad Mean: 0.000000006546232 | Grad Std: 0.000000026461466
Param: rdm.enc2.csa1.cbam_layer.channel_layer.fc_2.weight | Grad Mean: -0.000000007498878 | Grad Std: 0.000001092877596
Param: rdm.enc2.csa1.cbam_layer.channel_layer.fc_2.bias   | Grad Mean: 0.000000921592402 | Grad Std: 0.000004661023013
Param: rdm.enc2.csa1.cbam_layer.spatial_layer.conv.weight | Grad Mean: 0.000009589576621 | Grad Std: 0.000018759918021
Param: rdm.enc2.out.0.weight                              | Grad Mean: -0.000001505124715 | Grad Std: 0.000039502527216
Param: rdm.enc2.out.0.bias                                | Grad Mean: -0.000000000000536 | Grad Std: 0.000000000022569
Param: rdm.enc2.out.1.weight                              | Grad Mean: -0.000002171514325 | Grad Std: 0.000026926716600
Param: rdm.enc2.out.1.bias                                | Grad Mean: -0.000000465905799 | Grad Std: 0.000010527425729
Param: rdm.enc3.conv.weight                               | Grad Mean: -0.000000026988435 | Grad Std: 0.000001033055241
Param: rdm.enc3.conv.bias                                 | Grad Mean: -0.000000017112624 | Grad Std: 0.000000062212905
Param: rdm.enc3.csa0.conv1.conv2d.weight                  | Grad Mean: -0.000000000650201 | Grad Std: 0.000000272950302
Param: rdm.enc3.csa0.conv1.norm.weight                    | Grad Mean: 0.000000000425157 | Grad Std: 0.000000053537345
Param: rdm.enc3.csa0.conv1.norm.bias                      | Grad Mean: 0.000000093334904 | Grad Std: 0.000000090614932
Param: rdm.enc3.csa0.conv2.conv2d.weight                  | Grad Mean: 0.000000075962546 | Grad Std: 0.000000469522320
Param: rdm.enc3.csa0.conv2.norm.weight                    | Grad Mean: 0.000000109920634 | Grad Std: 0.000000563916899
Param: rdm.enc3.csa0.conv2.norm.bias                      | Grad Mean: -0.000000003299318 | Grad Std: 0.000000100789713
Param: rdm.enc3.csa0.cbam_layer.channel_layer.fc_1.weight | Grad Mean: 0.000000000000014 | Grad Std: 0.000000000000224
Param: rdm.enc3.csa0.cbam_layer.channel_layer.fc_1.bias   | Grad Mean: 0.000000000000029 | Grad Std: 0.000000000000114
Param: rdm.enc3.csa0.cbam_layer.channel_layer.fc_2.weight | Grad Mean: -0.000000000000000 | Grad Std: 0.000000000000001
Param: rdm.enc3.csa0.cbam_layer.channel_layer.fc_2.bias   | Grad Mean: 0.000000056200797 | Grad Std: 0.000000288220320
Param: rdm.enc3.csa0.cbam_layer.spatial_layer.conv.weight | Grad Mean: -0.000008454837371 | Grad Std: 0.000013079453311
Param: rdm.enc3.csa1.conv1.conv2d.weight                  | Grad Mean: -0.000000024983112 | Grad Std: 0.000000538936717
Param: rdm.enc3.csa1.conv1.norm.weight                    | Grad Mean: 0.000000000062931 | Grad Std: 0.000000037514045
Param: rdm.enc3.csa1.conv1.norm.bias                      | Grad Mean: 0.000000092351073 | Grad Std: 0.000000075122486
Param: rdm.enc3.csa1.conv2.conv2d.weight                  | Grad Mean: 0.000000018193445 | Grad Std: 0.000000208159250
Param: rdm.enc3.csa1.conv2.norm.weight                    | Grad Mean: -0.000000004453841 | Grad Std: 0.000000174266873
Param: rdm.enc3.csa1.conv2.norm.bias                      | Grad Mean: -0.000000000055862 | Grad Std: 0.000000043186791
Param: rdm.enc3.csa1.cbam_layer.channel_layer.fc_1.weight | Grad Mean: 0.000000000000150 | Grad Std: 0.000000000002614
Param: rdm.enc3.csa1.cbam_layer.channel_layer.fc_1.bias   | Grad Mean: 0.000000000006164 | Grad Std: 0.000000000024957
Param: rdm.enc3.csa1.cbam_layer.channel_layer.fc_2.weight | Grad Mean: 0.000000000000001 | Grad Std: 0.000000000000011
Param: rdm.enc3.csa1.cbam_layer.channel_layer.fc_2.bias   | Grad Mean: -0.000000002251692 | Grad Std: 0.000000089198785
Param: rdm.enc3.csa1.cbam_layer.spatial_layer.conv.weight | Grad Mean: -0.000008697380508 | Grad Std: 0.000009858914382
Param: rdm.enc3.out.0.weight                              | Grad Mean: -0.000000093922012 | Grad Std: 0.000000567559823
Param: rdm.enc3.out.0.bias                                | Grad Mean: -0.000000000000120 | Grad Std: 0.000000000001469
Param: rdm.enc3.out.1.weight                              | Grad Mean: 0.000000075315185 | Grad Std: 0.000000020686755
Param: rdm.enc3.out.1.bias                                | Grad Mean: 0.000000174222862 | Grad Std: 0.000000068296394
Param: rdm.diconv1.0.weight                               | Grad Mean: -0.000000117524827 | Grad Std: 0.000000491733374
Param: rdm.diconv1.0.bias                                 | Grad Mean: 0.000000000000009 | Grad Std: 0.000000000000479
Param: rdm.diconv1.1.weight                               | Grad Mean: 0.000000090393598 | Grad Std: 0.000000122958127
Param: rdm.diconv1.1.bias                                 | Grad Mean: 0.000000211213546 | Grad Std: 0.000000075275523
Param: rdm.diconv2.0.weight                               | Grad Mean: -0.000000201392979 | Grad Std: 0.000000967275923
Param: rdm.diconv2.0.bias                                 | Grad Mean: 0.000000000000009 | Grad Std: 0.000000000001040
Param: rdm.diconv2.1.weight                               | Grad Mean: 0.000000163964955 | Grad Std: 0.000000306024020
Param: rdm.diconv2.1.bias                                 | Grad Mean: 0.000000478589811 | Grad Std: 0.000000581803022
Param: rdm.diconv3.0.weight                               | Grad Mean: 0.000000246089911 | Grad Std: 0.000001708610284
Param: rdm.diconv3.0.bias                                 | Grad Mean: -0.000000000000333 | Grad Std: 0.000000000002486
Param: rdm.diconv3.1.weight                               | Grad Mean: 0.000000215578652 | Grad Std: 0.000000723626954
Param: rdm.diconv3.1.bias                                 | Grad Mean: 0.000001311816504 | Grad Std: 0.000002364163720
Param: rdm.diconv4.0.weight                               | Grad Mean: -0.000000087230823 | Grad Std: 0.000002922239219
Param: rdm.diconv4.0.bias                                 | Grad Mean: 0.000000000000282 | Grad Std: 0.000000000004246
Param: rdm.diconv4.1.weight                               | Grad Mean: 0.000000254749494 | Grad Std: 0.000001656330369
Param: rdm.diconv4.1.bias                                 | Grad Mean: 0.000000104058117 | Grad Std: 0.000000822152799
Param: rdm.dec1.conv.0.weight                             | Grad Mean: 0.000000134811287 | Grad Std: 0.000003978865152
Param: rdm.dec1.conv.0.bias                               | Grad Mean: 0.000000000000317 | Grad Std: 0.000000000004470
Param: rdm.dec1.conv.1.weight                             | Grad Mean: 0.000001879679189 | Grad Std: 0.000018921387891
Param: rdm.dec1.conv.1.bias                               | Grad Mean: 0.000001242727762 | Grad Std: 0.000004708109827
Param: rdm.dec2.conv.0.weight                             | Grad Mean: -0.000000302697714 | Grad Std: 0.000054752290453
Param: rdm.dec2.conv.0.bias                               | Grad Mean: 0.000000000000082 | Grad Std: 0.000000000034437
Param: rdm.dec2.conv.1.weight                             | Grad Mean: -0.000018512886527 | Grad Std: 0.000197279150598
Param: rdm.dec2.conv.1.bias                               | Grad Mean: -0.000011103323232 | Grad Std: 0.000100955017842
Param: rdm.dec3.conv.0.weight                             | Grad Mean: 0.000065356311097 | Grad Std: 0.000314619712299
Param: rdm.dec3.conv.0.bias                               | Grad Mean: -0.000000000194584 | Grad Std: 0.000000000393200
Param: rdm.dec3.conv.1.weight                             | Grad Mean: 0.000052276533097 | Grad Std: 0.000404328486184
Param: rdm.dec3.conv.1.bias                               | Grad Mean: -0.000183157535503 | Grad Std: 0.000425608101068
Param: rdm.out_head.0.weight                              | Grad Mean: -0.000550151686184 | Grad Std: 0.001293978537433
Param: rdm.out_head.0.bias                                | Grad Mean: 0.004026442300528 | Grad Std: nan
Param: patch_embed0.proj.0.weight                         | Grad Mean: -0.000463700154796 | Grad Std: 0.003371449653059
Param: patch_embed0.proj.0.bias                           | Grad Mean: 0.000000000014419 | Grad Std: 0.000000004656214
Param: patch_embed0.proj.1.weight                         | Grad Mean: 0.000015142830307 | Grad Std: 0.000952939328272
Param: patch_embed0.proj.1.bias                           | Grad Mean: -0.000031153584132 | Grad Std: 0.000944025756326
Param: encoder0.0.norm_act1.0.weight                      | Grad Mean: 0.000057156132243 | Grad Std: 0.002054112032056
Param: encoder0.0.norm_act1.0.bias                        | Grad Mean: -0.000019548937416 | Grad Std: 0.001435826066881
Param: encoder0.0.swin.0.Swin.norm1.weight                | Grad Mean: -0.000019458977476 | Grad Std: 0.000066795546445
Param: encoder0.0.swin.0.Swin.norm1.bias                  | Grad Mean: 0.000001512646122 | Grad Std: 0.000070766094723
Param: encoder0.0.swin.0.Swin.attn.relative_position_bias_table | Grad Mean: 0.000000000000005 | Grad Std: 0.000000537120627
Param: encoder0.0.swin.0.Swin.attn.qkv.weight             | Grad Mean: 0.000000044912568 | Grad Std: 0.000050560796808
Param: encoder0.0.swin.0.Swin.attn.qkv.bias               | Grad Mean: 0.000002863944019 | Grad Std: 0.000085178617155
Param: encoder0.0.swin.0.Swin.attn.proj.weight            | Grad Mean: -0.000000490863215 | Grad Std: 0.000064000210841
Param: encoder0.0.swin.0.Swin.attn.proj.bias              | Grad Mean: -0.000000534109859 | Grad Std: 0.000255635386566
Param: encoder0.0.swin.0.Swin.norm2.weight                | Grad Mean: -0.000037879603042 | Grad Std: 0.000067846078309
Param: encoder0.0.swin.0.Swin.norm2.bias                  | Grad Mean: 0.000001207437890 | Grad Std: 0.000051044393331
Param: encoder0.0.swin.0.Swin.mlp.fc1.weight              | Grad Mean: -0.000000129928097 | Grad Std: 0.000022968662961
Param: encoder0.0.swin.0.Swin.mlp.fc1.bias                | Grad Mean: -0.000011466196156 | Grad Std: 0.000040511578845
Param: encoder0.0.swin.0.Swin.mlp.fc2.weight              | Grad Mean: -0.000000521794391 | Grad Std: 0.000024073526220
Param: encoder0.0.swin.0.Swin.mlp.fc2.bias                | Grad Mean: -0.000000534109859 | Grad Std: 0.000235508327023
Param: encoder0.0.swin.0.norm.weight                      | Grad Mean: 0.000041283339669 | Grad Std: 0.000493755447678
Param: encoder0.0.swin.0.norm.bias                        | Grad Mean: -0.000001068216079 | Grad Std: 0.000558157451451
Param: encoder0.0.swin.1.Swin.norm1.weight                | Grad Mean: -0.000012696611520 | Grad Std: 0.000039628361264
Param: encoder0.0.swin.1.Swin.norm1.bias                  | Grad Mean: -0.000001314408337 | Grad Std: 0.000030724499084
Param: encoder0.0.swin.1.Swin.attn.relative_position_bias_table | Grad Mean: 0.000000000000005 | Grad Std: 0.000000211591413
Param: encoder0.0.swin.1.Swin.attn.qkv.weight             | Grad Mean: -0.000000004435235 | Grad Std: 0.000029331153200
Param: encoder0.0.swin.1.Swin.attn.qkv.bias               | Grad Mean: 0.000000486473994 | Grad Std: 0.000053900359489
Param: encoder0.0.swin.1.Swin.attn.proj.weight            | Grad Mean: -0.000000052327312 | Grad Std: 0.000035763503547
Param: encoder0.0.swin.1.Swin.attn.proj.bias              | Grad Mean: -0.000002834280167 | Grad Std: 0.000183530486538
Param: encoder0.0.swin.1.Swin.norm2.weight                | Grad Mean: -0.000016516725736 | Grad Std: 0.000030126191632
Param: encoder0.0.swin.1.Swin.norm2.bias                  | Grad Mean: -0.000001545531973 | Grad Std: 0.000022364032702
Param: encoder0.0.swin.1.Swin.mlp.fc1.weight              | Grad Mean: -0.000000098330503 | Grad Std: 0.000013220632354
Param: encoder0.0.swin.1.Swin.mlp.fc1.bias                | Grad Mean: -0.000007349993666 | Grad Std: 0.000022855150746
Param: encoder0.0.swin.1.Swin.mlp.fc2.weight              | Grad Mean: -0.000000424226442 | Grad Std: 0.000012990672985
Param: encoder0.0.swin.1.Swin.mlp.fc2.bias                | Grad Mean: -0.000002834286306 | Grad Std: 0.000175287583261
Param: encoder0.0.swin.1.norm.weight                      | Grad Mean: -0.000007671904314 | Grad Std: 0.000499253452290
Param: encoder0.0.swin.1.norm.bias                        | Grad Mean: -0.000005668567610 | Grad Std: 0.000355567375664
Param: encoder0.0.mamba.0.norm.weight                     | Grad Mean: 0.000015635996533 | Grad Std: 0.000386517407605
Param: encoder0.0.mamba.0.norm.bias                       | Grad Mean: 0.000010338079846 | Grad Std: 0.000227670228924
Param: encoder0.0.mamba.0.mamba.A_log                     | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder0.0.mamba.0.mamba.D                         | Grad Mean: 0.000001730667805 | Grad Std: 0.000056251345086
Param: encoder0.0.mamba.0.mamba.in_proj.weight            | Grad Mean: 0.000000834988782 | Grad Std: 0.000038399826735
Param: encoder0.0.mamba.0.mamba.conv1d.weight             | Grad Mean: -0.000005050444088 | Grad Std: 0.000403493584599
Param: encoder0.0.mamba.0.mamba.conv1d.bias               | Grad Mean: 0.000034226366552 | Grad Std: 0.000338981801178
Param: encoder0.0.mamba.0.mamba.x_proj.weight             | Grad Mean: -0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder0.0.mamba.0.mamba.dt_proj.weight            | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder0.0.mamba.0.mamba.dt_proj.bias              | Grad Mean: -0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder0.0.mamba.0.mamba.out_proj.weight           | Grad Mean: 0.000000052802310 | Grad Std: 0.000047267985792
Param: encoder0.0.mamba.0.proj.0.weight                   | Grad Mean: -0.000000309092997 | Grad Std: 0.000067151719122
Param: encoder0.0.mamba.0.proj.0.bias                     | Grad Mean: -0.000000000022813 | Grad Std: 0.000000001383805
Param: encoder0.0.mamba.0.proj.1.weight                   | Grad Mean: 0.000013128017599 | Grad Std: 0.000087612352218
Param: encoder0.0.mamba.0.proj.1.bias                     | Grad Mean: -0.000009014040188 | Grad Std: 0.000173081280082
Param: encoder0.0.mamba.1.norm.weight                     | Grad Mean: 0.000002780201157 | Grad Std: 0.000380281184334
Param: encoder0.0.mamba.1.norm.bias                       | Grad Mean: 0.000001264526304 | Grad Std: 0.000210532089113
Param: encoder0.0.mamba.1.mamba.A_log                     | Grad Mean: -0.000000000001160 | Grad Std: 0.000000004265906
Param: encoder0.0.mamba.1.mamba.D                         | Grad Mean: 0.000000474016304 | Grad Std: 0.000020892815883
Param: encoder0.0.mamba.1.mamba.in_proj.weight            | Grad Mean: 0.000000533621744 | Grad Std: 0.000015589614122
Param: encoder0.0.mamba.1.mamba.conv1d.weight             | Grad Mean: 0.000013518765627 | Grad Std: 0.000136353628477
Param: encoder0.0.mamba.1.mamba.conv1d.bias               | Grad Mean: 0.000002362155101 | Grad Std: 0.000036876801460
Param: encoder0.0.mamba.1.mamba.x_proj.weight             | Grad Mean: 0.000000004505878 | Grad Std: 0.000000295922575
Param: encoder0.0.mamba.1.mamba.dt_proj.weight            | Grad Mean: 0.000000000000000 | Grad Std: 0.000000000000000
Param: encoder0.0.mamba.1.mamba.dt_proj.bias              | Grad Mean: 0.000000000195579 | Grad Std: 0.000000005577661
Param: encoder0.0.mamba.1.mamba.out_proj.weight           | Grad Mean: 0.000000187729952 | Grad Std: 0.000014015872694
Param: encoder0.0.mamba.1.proj.0.weight                   | Grad Mean: 0.000000454826932 | Grad Std: 0.000042666670197
Param: encoder0.0.mamba.1.proj.0.bias                     | Grad Mean: 0.000000000032529 | Grad Std: 0.000000000943269
Param: encoder0.0.mamba.1.proj.1.weight                   | Grad Mean: 0.000010425097571 | Grad Std: 0.000064400475821
